State,Year,Visitors_000,,,,,,,,,,,,,
Labuan,2017,381,,,,,,,,,,,,,
Labuan,2018,545,,,,,,,,,,,,,
Labuan,2019,524,,,,,,,,,,,,,
Labuan,2020,107,,,,,,,,,,,,,
Labuan,2021,54,,,,,,,,,,,,,
Labuan,2022,244,,,,,,,,,,,,,
Labuan,2023,331,,,,,,,,,,,,,
Putrajaya,2017,"1,872",,,,,,,,,,,,,
Putrajaya,2018,"1,892",,,,,,,,,,,,,
Putrajaya,2019,"1,949",,,,,,,,,,,,,
Putrajaya,2020,451,,,,,,,,,,,,,
Putrajaya,2021,223,,,,,,,,,,,,,
Putrajaya,2022,"1,306",,,,,,,,,,,,,
Putrajaya,2023,"1,900",,,,,,,,,,,,,
